Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712566360826593084,200,2366323168,67,849,,1712566362384873000 ,1712566362386614000 ,1712566362396791000 ,1712566362416963000 ,1712566362417709000 ,1712566362583230000 ,1712566362757988000 ,1712566362759226000 ,,187
1712566360856215311,200,2336708491,67,849,,1712566362428736000 ,1712566362428788000 ,1712566362433137000 ,1712566362466070000 ,1712566362466836000 ,1712566362628184000 ,1712566362852467000 ,1712566362853315000 ,,193
1712566360741684785,200,2451479999,67,849,,1712566361999406000 ,1712566361999442000 ,1712566362002176000 ,1712566362042014000 ,1712566362042839000 ,1712566362277286000 ,1712566362435145000 ,1712566362435843000 ,,170
1712566360891865408,200,2301410790,67,849,,1712566362511601000 ,1712566362514052000 ,1712566362528999000 ,1712566362601933000 ,1712566362602667000 ,1712566362651399000 ,1712566362849371000 ,1712566362850174000 ,,200
1712566360946449593,200,2249258055,67,849,,1712566362506193000 ,1712566362506304000 ,1712566362509144000 ,1712566362544194000 ,1712566362545821000 ,1712566362617060000 ,1712566362854581000 ,1712566362855762000 ,,211
1712566360901126608,200,2380629892,67,849,,1712566362508695000 ,1712566362508780000 ,1712566362519371000 ,1712566362590390000 ,1712566362591236000 ,1712566362700813000 ,1712566362906026000 ,1712566362906720000 ,,202
1712566360916990534,200,2438970906,67,849,,1712566362507998000 ,1712566362510693000 ,1712566362523686000 ,1712566362614047000 ,1712566362614173000 ,1712566362677976000 ,1712566362906911000 ,1712566362908284000 ,,205
1712566360921916474,200,2434975423,67,849,,1712566362511596000 ,1712566362514015000 ,1712566362528980000 ,1712566362584542000 ,1712566362585501000 ,1712566362664677000 ,1712566362914881000 ,1712566362915642000 ,,206
1712566360956966781,200,2399986335,67,849,,1712566362556315000 ,1712566362556409000 ,1712566362570027000 ,1712566362609597000 ,1712566362610335000 ,1712566362757901000 ,1712566362959934000 ,1712566362961226000 ,,213
1712566360876135182,200,2480864454,67,849,,1712566362498565000 ,1712566362499605000 ,1712566362506160000 ,1712566362590197000 ,1712566362591259000 ,1712566362685879000 ,1712566362929949000 ,1712566362935773000 ,,197
1712566360911122216,200,2445920029,67,849,,1712566362511587000 ,1712566362514024000 ,1712566362529099000 ,1712566362584867000 ,1712566362585497000 ,1712566362679609000 ,1712566362905418000 ,1712566362906202000 ,,204
1712566360886068861,200,2471013944,67,849,,1712566362505859000 ,1712566362505918000 ,1712566362517420000 ,1712566362579396000 ,1712566362582821000 ,1712566362756571000 ,1712566362956984000 ,1712566362958919000 ,,199
1712566360941422305,200,2415702009,67,849,,1712566362508753000 ,1712566362508787000 ,1712566362509131000 ,1712566362584345000 ,1712566362585458000 ,1712566362779185000 ,1712566362964680000 ,1712566362965281000 ,,210
1712566360986839721,200,2370472079,67,849,,1712566362735416000 ,1712566362748969000 ,1712566362816665000 ,1712566362866857000 ,1712566362867224000 ,1712566362874465000 ,1712566363044692000 ,1712566363045942000 ,,219
1712566360746410597,200,2610909724,67,849,,1712566362425696000 ,1712566362425846000 ,1712566362426292000 ,1712566362575663000 ,1712566362575771000 ,1712566362861787000 ,1712566363029979000 ,1712566363030600000 ,,171
1712566360936533484,200,2420817837,67,849,,1712566362506106000 ,1712566362506134000 ,1712566362509011000 ,1712566362560788000 ,1712566362560929000 ,1712566362874328000 ,1712566363036142000 ,1712566363036802000 ,,209
1712566360926870529,200,2430564820,67,849,,1712566362511570000 ,1712566362513917000 ,1712566362529007000 ,1712566362584352000 ,1712566362585458000 ,1712566362660700000 ,1712566362896577000 ,1712566362897189000 ,,207
1712566360801421943,200,2556321807,67,849,,1712566362553961000 ,1712566362554023000 ,1712566362554201000 ,1712566362625884000 ,1712566362625984000 ,1712566362844536000 ,1712566363009397000 ,1712566363009954000 ,,182
