Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712155509074604440,200,23504568404,64,901,,1712155527964742000 ,1712155527985415000 ,1712155527985686000 ,1712155527988398000 ,1712155527989375000 ,1712155528515076000 ,1712155530132119000 ,1712155530137245000 ,,862
1712155509034950953,200,23544228604,64,901,,1712155527965629000 ,1712155527989175000 ,1712155528073434000 ,1712155528654822000 ,1712155528664027000 ,1712155528668336000 ,1712155530243966000 ,1712155530247954000 ,,858
1712155508855172872,200,23724034181,64,901,,1712155527964992000 ,1712155527984992000 ,1712155527985457000 ,1712155527988438000 ,1712155527996938000 ,1712155528350391000 ,1712155530201967000 ,1712155530206655000 ,,840
1712155508864921670,200,23714291547,64,901,,1712155527964865000 ,1712155527992247000 ,1712155528074778000 ,1712155528090223000 ,1712155528090946000 ,1712155529180236000 ,1712155530214604000 ,1712155530221187000 ,,841
1712155508424842413,200,24155348625,64,901,,1712155527083729000 ,1712155527102234000 ,1712155527177046000 ,1712155527700438000 ,1712155527716403000 ,1712155528362321000 ,1712155530330961000 ,1712155530335217000 ,,797
1712155508634447458,200,23945800849,64,901,,1712155527336011000 ,1712155527375461000 ,1712155527378479000 ,1712155527676954000 ,1712155527686434000 ,1712155528268662000 ,1712155530496001000 ,1712155530498688000 ,,818
1712155508724369537,200,23855907875,64,901,,1712155527564739000 ,1712155527575286000 ,1712155527576313000 ,1712155527579005000 ,1712155527579126000 ,1712155528097926000 ,1712155530317097000 ,1712155530323847000 ,,827
1712155509064597197,200,23515700629,64,901,,1712155527965499000 ,1712155527988659000 ,1712155528005348000 ,1712155528451943000 ,1712155528452198000 ,1712155528456315000 ,1712155530315125000 ,1712155530318414000 ,,861
1712155508924368953,200,23655971622,64,901,,1712155527964859000 ,1712155527989324000 ,1712155528049749000 ,1712155528060741000 ,1712155528072147000 ,1712155528083701000 ,1712155530385032000 ,1712155530390956000 ,,847
1712155509164158619,200,23416196482,64,901,,1712155528132067000 ,1712155528141984000 ,1712155528142814000 ,1712155528148162000 ,1712155528149943000 ,1712155528155088000 ,1712155530288936000 ,1712155530295544000 ,,871
1712155508784522383,200,23795861792,64,901,,1712155527564553000 ,1712155527585719000 ,1712155527658145000 ,1712155528108210000 ,1712155528114820000 ,1712155528118396000 ,1712155530391296000 ,1712155530394889000 ,,833
